instruNet waves in merged TEXT form #2

Notes:	
Date & Time:	01/20/2020	17:38:52
ChanName:	Ch1 Vin+	Ch4 Vin+
UserName:	Ch1 Vin+	Ch4 Vin+
vUnits:	Volts	Volts
hUnits:	Secs	Secs
PtsPerScan:	0000010000	0000010000
NumScansBeforeLastScan:	0000000000	0000000000
PtsInLastScan:	0000010000	0000010000
1stPtTime:	+0.000000000e+000	+0.000000000e+000
SamplePeriod:	+2.000000000e-001	+2.000000000e-001
netNum:	01	01
devNum:	01	01
modNum:	01	01
chNum:	001	004
BytesPerRow:	-1	-1
FirstDataByte:	-1	-1
key:	21940	21940
1904secs:	3662402482	3662402482
DataType:	+05	+05
Internal1:	+5.000000000e+000	+5.000000000e+000
External1:	+5.000000000e+000	+5.000000000e+000
Internal2:	-5.000000000e+000	-5.000000000e+000
External2:	-5.000000000e+000	-5.000000000e+000
Secs	Ch1 Vin+	Ch4 Vin+
+0.9634000e+3	+1.0732425e+0	+0.1121580e-2
+0.9636000e+3	+1.0860604e+0	+0.1127526e-2
+0.9638000e+3	+1.0885019e+0	+0.1160823e-2
+0.9640000e+3	+1.0714115e+0	+0.1144174e-2
+0.9642000e+3	+1.0885019e+0	+0.1104931e-2
+0.9644000e+3	+1.0775152e+0	+0.1123958e-2
+0.9646000e+3	+1.0750737e+0	+0.1156066e-2
+0.9648000e+3	+1.0842294e+0	+0.1122769e-2
+0.9650000e+3	+1.0775152e+0	+0.1123958e-2
+0.9652000e+3	+1.0732425e+0	+0.1122769e-2
+0.9654000e+3	+1.0909435e+0	+0.1123958e-2
+0.9656000e+3	+1.0830085e+0	+0.1141796e-2
+0.9658000e+3	+1.0781256e+0	+0.1113255e-2
+0.9660000e+3	+1.0854501e+0	+0.1128715e-2
+0.9662000e+3	+1.0854501e+0	+0.1176283e-2
+0.9664000e+3	+1.0823982e+0	+0.1103742e-2
+0.9666000e+3	+1.0909435e+0	+0.1140607e-2
+0.9668000e+3	+1.0872811e+0	+0.1170337e-2
+0.9670000e+3	+1.0848397e+0	+0.1140607e-2
+0.9672000e+3	+1.0970471e+0	+0.1123958e-2
+0.9674000e+3	+1.0799567e+0	+0.1145364e-2
+0.9676000e+3	+1.0891123e+0	+0.1119201e-2
+0.9678000e+3	+1.0946057e+0	+0.1134661e-2
+0.9680000e+3	+1.0799567e+0	+0.1153688e-2
+0.9682000e+3	+1.0830085e+0	+0.1137039e-2
+0.9684000e+3	+1.0946057e+0	+0.1096607e-2
+0.9686000e+3	+1.0939952e+0	+0.1142985e-2
+0.9688000e+3	+1.0933849e+0	+0.1104931e-2
+0.9690000e+3	+1.0994886e+0	+0.1131093e-2
+0.9692000e+3	+1.0939952e+0	+0.1134661e-2
+0.9694000e+3	+1.0915538e+0	+0.1150120e-2
+0.9696000e+3	+1.0939952e+0	+0.1113255e-2
+0.9698000e+3	+1.0885019e+0	+0.1114445e-2
+0.9700000e+3	+1.0848397e+0	+0.1126337e-2
+0.9702000e+3	+1.0903330e+0	+0.1157255e-2
+0.9704000e+3	+1.0848397e+0	+0.1123958e-2
+0.9706000e+3	+1.0878916e+0	+0.1118012e-2
+0.9708000e+3	+1.0878916e+0	+0.1123958e-2
+0.9710000e+3	+1.0762944e+0	+0.1153688e-2
+0.9712000e+3	+1.0830085e+0	+0.1122769e-2
+0.9714000e+3	+1.0842294e+0	+0.1128715e-2
+0.9716000e+3	+1.0830085e+0	+0.1145364e-2
+0.9718000e+3	+1.0872811e+0	+0.1153688e-2
+0.9720000e+3	+1.0866708e+0	+0.1123958e-2
+0.9722000e+3	+1.0854501e+0	+0.1141796e-2
+0.9724000e+3	+1.0854501e+0	+0.1121580e-2
+0.9726000e+3	+1.0848397e+0	+0.1134661e-2
+0.9728000e+3	+1.0872811e+0	+0.1118012e-2
+0.9730000e+3	+1.0830085e+0	+0.1123958e-2
+0.9732000e+3	+1.0830085e+0	+0.1115634e-2
+0.9734000e+3	+1.0854501e+0	+0.1107309e-2
+0.9736000e+3	+1.0830085e+0	+0.1153688e-2
+0.9738000e+3	+1.0891123e+0	+0.1104931e-2
+0.9740000e+3	+1.0842294e+0	+0.1158445e-2
+0.9742000e+3	+1.0775152e+0	+0.1144174e-2
+0.9744000e+3	+1.0842294e+0	+0.1153688e-2
+0.9746000e+3	+1.0854501e+0	+0.1107309e-2
+0.9748000e+3	+1.0860604e+0	+0.1127526e-2
+0.9750000e+3	+1.0903330e+0	+0.1164391e-2
+0.9752000e+3	+1.0946057e+0	+0.1132282e-2
+0.9754000e+3	+1.0830085e+0	+0.1141796e-2
+0.9756000e+3	+1.0909435e+0	+0.1113255e-2
+0.9758000e+3	+1.0854501e+0	+0.1114445e-2
+0.9760000e+3	+1.0848397e+0	+0.1125147e-2
+0.9762000e+3	+1.0915538e+0	+0.1148931e-2
+0.9764000e+3	+1.0878916e+0	+0.1134661e-2
+0.9766000e+3	+1.0799567e+0	+0.1127526e-2
+0.9768000e+3	+1.0866708e+0	+0.1153688e-2
+0.9770000e+3	+1.0775152e+0	+0.1123958e-2
+0.9772000e+3	+1.0885019e+0	+0.1139418e-2
+0.9774000e+3	+1.0909435e+0	+0.1148931e-2
+0.9776000e+3	+1.0848397e+0	+0.1108499e-2
+0.9778000e+3	+1.0885019e+0	+0.1134661e-2
+0.9780000e+3	+1.0866708e+0	+0.1172715e-2
+0.9782000e+3	+1.0732425e+0	+0.1138228e-2
+0.9784000e+3	+1.0842294e+0	+0.1132282e-2
+0.9786000e+3	+1.0817878e+0	+0.1153688e-2
+0.9788000e+3	+1.0720218e+0	+0.1129904e-2
+0.9790000e+3	+1.0830085e+0	+0.1141796e-2
+0.9792000e+3	+1.0756841e+0	+0.1128715e-2
+0.9794000e+3	+1.0677493e+0	+0.1110877e-2
+0.9796000e+3	+1.0799567e+0	+0.1125147e-2
+0.9798000e+3	+1.0750737e+0	+0.1142985e-2
+0.9800000e+3	+1.0750737e+0	+0.1162012e-2
+0.9802000e+3	+1.0854501e+0	+0.1153688e-2
+0.9804000e+3	+1.0750737e+0	+0.1145364e-2
+0.9806000e+3	+1.0775152e+0	+0.1094228e-2
+0.9808000e+3	+1.0799567e+0	+0.1127526e-2
+0.9810000e+3	+1.0732425e+0	+0.1165580e-2
+0.9812000e+3	+1.0744634e+0	+0.1107309e-2
+0.9814000e+3	+1.0677493e+0	+0.1176283e-2
+0.9816000e+3	+1.0671389e+0	+0.1129904e-2
+0.9818000e+3	+1.0708011e+0	+0.1131093e-2
+0.9820000e+3	+1.0750737e+0	+0.1134661e-2
+0.9822000e+3	+1.0646974e+0	+0.1116823e-2
+0.9824000e+3	+1.0720218e+0	+0.1115634e-2
+0.9826000e+3	+1.0787359e+0	+0.1144174e-2
+0.9828000e+3	+1.0708011e+0	+0.1160823e-2
+0.9830000e+3	+1.0750737e+0	+0.1129904e-2
+0.9832000e+3	+1.0756841e+0	+0.1157255e-2
+0.9834000e+3	+1.0695803e+0	+0.1119201e-2
+0.9836000e+3	+1.0714115e+0	+0.1142985e-2
+0.9838000e+3	+1.0726322e+0	+0.1134661e-2
+0.9840000e+3	+1.0659181e+0	+0.1120391e-2
+0.9842000e+3	+1.0634767e+0	+0.1103742e-2
+0.9844000e+3	+1.0640870e+0	+0.1118012e-2
+0.9846000e+3	+1.0659181e+0	+0.1142985e-2
+0.9848000e+3	+1.0646974e+0	+0.1139418e-2
+0.9850000e+3	+1.0640870e+0	+0.1110877e-2
+0.9852000e+3	+1.0634767e+0	+0.1128715e-2
+0.9854000e+3	+1.0695803e+0	+0.1134661e-2
+0.9856000e+3	+1.0708011e+0	+0.1125147e-2
+0.9858000e+3	+1.0689700e+0	+0.1132282e-2
+0.9860000e+3	+1.0634767e+0	+0.1110877e-2
+0.9862000e+3	+1.0659181e+0	+0.1115634e-2
+0.9864000e+3	+1.0659181e+0	+0.1126337e-2
+0.9866000e+3	+1.0646974e+0	+0.1139418e-2
+0.9868000e+3	+1.0671389e+0	+0.1119201e-2
+0.9870000e+3	+1.0659181e+0	+0.1144174e-2
+0.9872000e+3	+1.0646974e+0	+0.1142985e-2
+0.9874000e+3	+1.0646974e+0	+0.1121580e-2
+0.9876000e+3	+1.0671389e+0	+0.1122769e-2
+0.9878000e+3	+1.0695803e+0	+0.1139418e-2
+0.9880000e+3	+1.0659181e+0	+0.1107309e-2
+0.9882000e+3	+1.0677493e+0	+0.1103742e-2
+0.9884000e+3	+1.0683596e+0	+0.1146553e-2
+0.9886000e+3	+1.0726322e+0	+0.1134661e-2
+0.9888000e+3	+1.0659181e+0	+0.1125147e-2
+0.9890000e+3	+1.0708011e+0	+0.1129904e-2
+0.9892000e+3	+1.0677493e+0	+0.1115634e-2
+0.9894000e+3	+1.0683596e+0	+0.1110877e-2
+0.9896000e+3	+1.0720218e+0	+0.1096607e-2
+0.9898000e+3	+1.0708011e+0	+0.1096607e-2
+0.9900000e+3	+1.0683596e+0	+0.1126337e-2
+0.9902000e+3	+1.0744634e+0	+0.1113255e-2
+0.9904000e+3	+1.0732425e+0	+0.1153688e-2
+0.9906000e+3	+1.0854501e+0	+0.1148931e-2
+0.9908000e+3	+1.0830085e+0	+0.1134661e-2
+0.9910000e+3	+1.0769048e+0	+0.1140607e-2
+0.9912000e+3	+1.0799567e+0	+0.1134661e-2
+0.9914000e+3	+1.0793463e+0	+0.1126337e-2
+0.9916000e+3	+1.0750737e+0	+0.1140607e-2
+0.9918000e+3	+1.0769048e+0	+0.1113255e-2
+0.9920000e+3	+1.0762944e+0	+0.1109688e-2
+0.9922000e+3	+1.0854501e+0	+0.1084715e-2
+0.9924000e+3	+1.0811775e+0	+0.1107309e-2
+0.9926000e+3	+1.0750737e+0	+0.1134661e-2
+0.9928000e+3	+1.0750737e+0	+0.1126337e-2
+0.9930000e+3	+1.0781256e+0	+0.1122769e-2
+0.9932000e+3	+1.0830085e+0	+0.1103742e-2
+0.9934000e+3	+1.0762944e+0	+0.1120391e-2
+0.9936000e+3	+1.0799567e+0	+0.1129904e-2
+0.9938000e+3	+1.0775152e+0	+0.1103742e-2
+0.9940000e+3	+1.0732425e+0	+0.1123958e-2
+0.9942000e+3	+1.0781256e+0	+0.1139418e-2
+0.9944000e+3	+1.0799567e+0	+0.1119201e-2
+0.9946000e+3	+1.0775152e+0	+0.1118012e-2
+0.9948000e+3	+1.0860604e+0	+0.1129904e-2
+0.9950000e+3	+1.0842294e+0	+0.1145364e-2
+0.9952000e+3	+1.0793463e+0	+0.1122769e-2
+0.9954000e+3	+1.0842294e+0	+0.1120391e-2
+0.9956000e+3	+1.0860604e+0	+0.1134661e-2
+0.9958000e+3	+1.0848397e+0	+0.1109688e-2
+0.9960000e+3	+1.0830085e+0	+0.1148931e-2
+0.9962000e+3	+1.0897226e+0	+0.1135850e-2
+0.9964000e+3	+1.0891123e+0	+0.1110877e-2
+0.9966000e+3	+1.0878916e+0	+0.1148931e-2
+0.9968000e+3	+1.0860604e+0	+0.1120391e-2
+0.9970000e+3	+1.0860604e+0	+0.1137039e-2
+0.9972000e+3	+1.0866708e+0	+0.1118012e-2
+0.9974000e+3	+1.0872811e+0	+0.1128715e-2
+0.9976000e+3	+1.0897226e+0	+0.1153688e-2
+0.9978000e+3	+1.0854501e+0	+0.1146553e-2
+0.9980000e+3	+1.0817878e+0	+0.1139418e-2
+0.9982000e+3	+1.0805671e+0	+0.1134661e-2
+0.9984000e+3	+1.0726322e+0	+0.1097796e-2
+0.9986000e+3	+1.0860604e+0	+0.1129904e-2
+0.9988000e+3	+1.0842294e+0	+0.1103742e-2
+0.9990000e+3	+1.0854501e+0	+0.1115634e-2
+0.9992000e+3	+1.0842294e+0	+0.1122769e-2
+0.9994000e+3	+1.0915538e+0	+0.1135850e-2
+0.9996000e+3	+1.0891123e+0	+0.1116823e-2
+0.9998000e+3	+1.0909435e+0	+0.1127526e-2
+1.0000000e+3	+1.0909435e+0	+0.1129904e-2
+1.0002000e+3	+1.0897226e+0	+0.1137039e-2
+1.0004000e+3	+1.0854501e+0	+0.1144174e-2
+1.0006000e+3	+1.0927745e+0	+0.1134661e-2
+1.0008000e+3	+1.0939952e+0	+0.1134661e-2
+1.0010000e+3	+1.0909435e+0	+0.1125147e-2
+1.0012000e+3	+1.0866708e+0	+0.1098985e-2
+1.0014000e+3	+1.0872811e+0	+0.1089472e-2
+1.0016000e+3	+1.0836189e+0	+0.1126337e-2
+1.0018000e+3	+1.0799567e+0	+0.1132282e-2
+1.0020000e+3	+1.0842294e+0	+0.1150120e-2
+1.0022000e+3	+1.0866708e+0	+0.1100174e-2
+1.0024000e+3	+1.0854501e+0	+0.1142985e-2
+1.0026000e+3	+1.0885019e+0	+0.1123958e-2
+1.0028000e+3	+1.0854501e+0	+0.1141796e-2
+1.0030000e+3	+1.0830085e+0	+0.1129904e-2
+1.0032000e+3	+1.0927745e+0	+0.1107309e-2
+1.0034000e+3	+1.0616455e+0	+0.1114445e-2
+1.0036000e+3	+1.0866708e+0	+0.1113255e-2
+1.0038000e+3	+1.0933849e+0	+0.1110877e-2
+1.0040000e+3	+1.0903330e+0	+0.1158445e-2
+1.0042000e+3	+1.0823982e+0	+0.1123958e-2
+1.0044000e+3	+1.0933849e+0	+0.1141796e-2
+1.0046000e+3	+1.0738530e+0	+0.1135850e-2
+1.0048000e+3	+1.0799567e+0	+0.1103742e-2
+1.0050000e+3	+1.0909435e+0	+0.1106120e-2
+1.0052000e+3	+1.0854501e+0	+0.1110877e-2
+1.0054000e+3	+1.0781256e+0	+0.1134661e-2
+1.0056000e+3	+1.0891123e+0	+0.1140607e-2
+1.0058000e+3	+1.0830085e+0	+0.1126337e-2
+1.0060000e+3	+1.0915538e+0	+0.1103742e-2
+1.0062000e+3	+1.0964367e+0	+0.1118012e-2
+1.0064000e+3	+1.0903330e+0	+0.1139418e-2
+1.0066000e+3	+1.0921642e+0	+0.1106120e-2
+1.0068000e+3	+1.0897226e+0	+0.1131093e-2
+1.0070000e+3	+1.0842294e+0	+0.1137039e-2
+1.0072000e+3	+1.0750737e+0	+0.1145364e-2
+1.0074000e+3	+1.0878916e+0	+0.1096607e-2
+1.0076000e+3	+1.0811775e+0	+0.1085904e-2
+1.0078000e+3	+1.0750737e+0	+0.1121580e-2
+1.0080000e+3	+1.0946057e+0	+0.1110877e-2
+1.0082000e+3	+1.0775152e+0	+0.1134661e-2
+1.0084000e+3	+1.0732425e+0	+0.1150120e-2
+1.0086000e+3	+1.0903330e+0	+0.1120391e-2
+1.0088000e+3	+1.0714115e+0	+0.1113255e-2
+1.0090000e+3	+1.0817878e+0	+0.1119201e-2
+1.0092000e+3	+1.0823982e+0	+0.1115634e-2
+1.0094000e+3	+1.0714115e+0	+0.1119201e-2
+1.0096000e+3	+1.0787359e+0	+0.1153688e-2
+1.0098000e+3	+1.0897226e+0	+0.1140607e-2
+1.0100000e+3	+1.0756841e+0	+0.1129904e-2
+1.0102000e+3	+1.0762944e+0	+0.1147742e-2
+1.0104000e+3	+1.0836189e+0	+0.1141796e-2
+1.0106000e+3	+1.0775152e+0	+0.1141796e-2
+1.0108000e+3	+1.0744634e+0	+0.1148931e-2
+1.0110000e+3	+1.0823982e+0	+0.1107309e-2
+1.0112000e+3	+1.0738530e+0	+0.1142985e-2
+1.0114000e+3	+1.0750737e+0	+0.1142985e-2
+1.0116000e+3	+1.0878916e+0	+0.1118012e-2
+1.0118000e+3	+1.0750737e+0	+0.1132282e-2
+1.0120000e+3	+1.0732425e+0	+0.1128715e-2
+1.0122000e+3	+1.0878916e+0	+0.1123958e-2
+1.0124000e+3	+1.0781256e+0	+0.1120391e-2
+1.0126000e+3	+1.0781256e+0	+0.1114445e-2
+1.0128000e+3	+1.0872811e+0	+0.1125147e-2
+1.0130000e+3	+1.0830085e+0	+0.1123958e-2
+1.0132000e+3	+1.0750737e+0	+0.1096607e-2
+1.0134000e+3	+1.0897226e+0	+0.1148931e-2
+1.0136000e+3	+1.0799567e+0	+0.1114445e-2
+1.0138000e+3	+1.0762944e+0	+0.1153688e-2
+1.0140000e+3	+1.0830085e+0	+0.1151310e-2
+1.0142000e+3	+1.0793463e+0	+0.1123958e-2
+1.0144000e+3	+1.0787359e+0	+0.1129904e-2
+1.0146000e+3	+1.0793463e+0	+0.1132282e-2
+1.0148000e+3	+1.0732425e+0	+0.1112066e-2
+1.0150000e+3	+1.0750737e+0	+0.1107309e-2
+1.0152000e+3	+1.0817878e+0	+0.1098985e-2
+1.0154000e+3	+1.0683596e+0	+0.1135850e-2
+1.0156000e+3	+1.0683596e+0	+0.1103742e-2
+1.0158000e+3	+1.0750737e+0	+0.1104931e-2
+1.0160000e+3	+1.0683596e+0	+0.1140607e-2
+1.0162000e+3	+1.0677493e+0	+0.1150120e-2
+1.0164000e+3	+1.0744634e+0	+0.1114445e-2
+1.0166000e+3	+1.0701907e+0	+0.1129904e-2
+1.0168000e+3	+1.0720218e+0	+0.1104931e-2
+1.0170000e+3	+1.0714115e+0	+0.1127526e-2
+1.0172000e+3	+1.0701907e+0	+0.1096607e-2
+1.0174000e+3	+1.0744634e+0	+0.1148931e-2
+1.0176000e+3	+1.0744634e+0	+0.1118012e-2
+1.0178000e+3	+1.0756841e+0	+0.1077580e-2
+1.0180000e+3	+1.0811775e+0	+0.1165580e-2
+1.0182000e+3	+1.0750737e+0	+0.1115634e-2
+1.0184000e+3	+1.0756841e+0	+0.1132282e-2
+1.0186000e+3	+1.0775152e+0	+0.1108499e-2
+1.0188000e+3	+1.0726322e+0	+0.1129904e-2
+1.0190000e+3	+1.0708011e+0	+0.1123958e-2
+1.0192000e+3	+1.0830085e+0	+0.1106120e-2
+1.0194000e+3	+1.0775152e+0	+0.1108499e-2
+1.0196000e+3	+1.0695803e+0	+0.1123958e-2
+1.0198000e+3	+1.0988783e+0	+0.1139418e-2
+1.0200000e+3	+1.0653077e+0	+0.1096607e-2
+1.0202000e+3	+1.0604248e+0	+0.1140607e-2
+1.0204000e+3	+1.0817878e+0	+0.1107309e-2
+1.0206000e+3	+1.0683596e+0	+0.1106120e-2
+1.0208000e+3	+1.0799567e+0	+0.1137039e-2
+1.0210000e+3	+1.0878916e+0	+0.1126337e-2
+1.0212000e+3	+1.0762944e+0	+0.1137039e-2
+1.0214000e+3	+1.0799567e+0	+0.1118012e-2
+1.0216000e+3	+1.0854501e+0	+0.1121580e-2
+1.0218000e+3	+1.0720218e+0	+0.1129904e-2
+1.0220000e+3	+1.0787359e+0	+0.1115634e-2
+1.0222000e+3	+1.1000990e+0	+0.1097796e-2
+1.0224000e+3	+1.0781256e+0	+0.1134661e-2
+1.0226000e+3	+1.0854501e+0	+0.1132282e-2
+1.0228000e+3	+1.0994886e+0	+0.1146553e-2
+1.0230000e+3	+1.0799567e+0	+0.1139418e-2
+1.0232000e+3	+1.0830085e+0	+0.1112066e-2
+1.0234000e+3	+1.1007093e+0	+0.1110877e-2
+1.0236000e+3	+1.0811775e+0	+0.1125147e-2
+1.0238000e+3	+1.0915538e+0	+0.1158445e-2
+1.0240000e+3	+1.1007093e+0	+0.1120391e-2
+1.0242000e+3	+1.0891123e+0	+0.1114445e-2
+1.0244000e+3	+1.0927745e+0	+0.1101364e-2
+1.0246000e+3	+1.0988783e+0	+0.1129904e-2
+1.0248000e+3	+1.0860604e+0	+0.1110877e-2
+1.0250000e+3	+1.0988783e+0	+0.1101364e-2
+1.0252000e+3	+1.1055924e+0	+0.1122769e-2
+1.0254000e+3	+1.0909435e+0	+0.1150120e-2
+1.0256000e+3	+1.0970471e+0	+0.1100174e-2
+1.0258000e+3	+1.0939952e+0	+0.1118012e-2
+1.0260000e+3	+1.0836189e+0	+0.1098985e-2
+1.0262000e+3	+1.0946057e+0	+0.1096607e-2
+1.0264000e+3	+1.0939952e+0	+0.1134661e-2
+1.0266000e+3	+1.0909435e+0	+0.1104931e-2
+1.0268000e+3	+1.0927745e+0	+0.1082337e-2
+1.0270000e+3	+1.0946057e+0	+0.1071634e-2
+1.0272000e+3	+1.0946057e+0	+0.1125147e-2
+1.0274000e+3	+1.0976574e+0	+0.1119201e-2
+1.0276000e+3	+1.0994886e+0	+0.1113255e-2
+1.0278000e+3	+1.0976574e+0	+0.1123958e-2
+1.0280000e+3	+1.0988783e+0	+0.1120391e-2
+1.0282000e+3	+1.1025405e+0	+0.1114445e-2
+1.0284000e+3	+1.0994886e+0	+0.1118012e-2
+1.0286000e+3	+1.1092546e+0	+0.1128715e-2
+1.0288000e+3	+1.1049820e+0	+0.1128715e-2
+1.0290000e+3	+1.1013198e+0	+0.1119201e-2
+1.0292000e+3	+1.1037612e+0	+0.1126337e-2
+1.0294000e+3	+1.1049820e+0	+0.1107309e-2
+1.0296000e+3	+1.1025405e+0	+0.1131093e-2
+1.0298000e+3	+1.1031508e+0	+0.1096607e-2
+1.0300000e+3	+1.0994886e+0	+0.1129904e-2
+1.0302000e+3	+1.1037612e+0	+0.1114445e-2
+1.0304000e+3	+1.0982679e+0	+0.1115634e-2
+1.0306000e+3	+1.1025405e+0	+0.1077580e-2
+1.0308000e+3	+1.1013198e+0	+0.1160823e-2
+1.0310000e+3	+1.1000990e+0	+0.1153688e-2
+1.0312000e+3	+1.1007093e+0	+0.1098985e-2
+1.0314000e+3	+1.1000990e+0	+0.1151310e-2
+1.0316000e+3	+1.1025405e+0	+0.1101364e-2
+1.0318000e+3	+1.1062027e+0	+0.1115634e-2
+1.0320000e+3	+1.1025405e+0	+0.1115634e-2
+1.0322000e+3	+1.1049820e+0	+0.1118012e-2
+1.0324000e+3	+1.0988783e+0	+0.1106120e-2
+1.0326000e+3	+1.0921642e+0	+0.1142985e-2
+1.0328000e+3	+1.0970471e+0	+0.1106120e-2
+1.0330000e+3	+1.0988783e+0	+0.1107309e-2
+1.0332000e+3	+1.0970471e+0	+0.1110877e-2
+1.0334000e+3	+1.0982679e+0	+0.1122769e-2
+1.0336000e+3	+1.0994886e+0	+0.1153688e-2
+1.0338000e+3	+1.0927745e+0	+0.1116823e-2
+1.0340000e+3	+1.0946057e+0	+0.1107309e-2
+1.0342000e+3	+1.0878916e+0	+0.1129904e-2
+1.0344000e+3	+1.0897226e+0	+0.1120391e-2
+1.0346000e+3	+1.0933849e+0	+0.1141796e-2
+1.0348000e+3	+1.0927745e+0	+0.1101364e-2
+1.0350000e+3	+1.0939952e+0	+0.1100174e-2
+1.0352000e+3	+1.0976574e+0	+0.1090661e-2
+1.0354000e+3	+1.0811775e+0	+0.1148931e-2
+1.0356000e+3	+1.0897226e+0	+0.1153688e-2
+1.0358000e+3	+1.0885019e+0	+0.1126337e-2
+1.0360000e+3	+1.0830085e+0	+0.1137039e-2
+1.0362000e+3	+1.0915538e+0	+0.1109688e-2
+1.0364000e+3	+1.0946057e+0	+0.1113255e-2
+1.0366000e+3	+1.0830085e+0	+0.1129904e-2
+1.0368000e+3	+1.0946057e+0	+0.1141796e-2
+1.0370000e+3	+1.0909435e+0	+0.1127526e-2
+1.0372000e+3	+1.0775152e+0	+0.1125147e-2
+1.0374000e+3	+1.0891123e+0	+0.1085904e-2
+1.0376000e+3	+1.0897226e+0	+0.1106120e-2
+1.0378000e+3	+1.0750737e+0	+0.1129904e-2
+1.0380000e+3	+1.1025405e+0	+0.1103742e-2
+1.0382000e+3	+1.0909435e+0	+0.1154877e-2
+1.0384000e+3	+1.0823982e+0	+0.1112066e-2
+1.0386000e+3	+1.0897226e+0	+0.1118012e-2
+1.0388000e+3	+1.0927745e+0	+0.1082337e-2
+1.0390000e+3	+1.0811775e+0	+0.1116823e-2
+1.0392000e+3	+1.0891123e+0	+0.1141796e-2
+1.0394000e+3	+1.0933849e+0	+0.1134661e-2
+1.0396000e+3	+1.0817878e+0	+0.1106120e-2
+1.0398000e+3	+1.0836189e+0	+0.1123958e-2
+1.0400000e+3	+1.0830085e+0	+0.1079958e-2
+1.0402000e+3	+1.0769048e+0	+0.1101364e-2
+1.0404000e+3	+1.0799567e+0	+0.1121580e-2
+1.0406000e+3	+1.0744634e+0	+0.1134661e-2
+1.0408000e+3	+1.0695803e+0	+0.1134661e-2
+1.0410000e+3	+1.0842294e+0	+0.1126337e-2
+1.0412000e+3	+1.0750737e+0	+0.1114445e-2
+1.0414000e+3	+1.0756841e+0	+0.1113255e-2
+1.0416000e+3	+1.0750737e+0	+0.1077580e-2
+1.0418000e+3	+1.0720218e+0	+0.1134661e-2
+1.0420000e+3	+1.0665284e+0	+0.1106120e-2
+1.0422000e+3	+1.0817878e+0	+0.1110877e-2
+1.0424000e+3	+1.0659181e+0	+0.1129904e-2
+1.0426000e+3	+1.0689700e+0	+0.1144174e-2
+1.0428000e+3	+1.0683596e+0	+0.1125147e-2
+1.0430000e+3	+1.0714115e+0	+0.1110877e-2
+1.0432000e+3	+1.0708011e+0	+0.1096607e-2
+1.0434000e+3	+1.0781256e+0	+0.1122769e-2
+1.0436000e+3	+1.0732425e+0	+0.1090661e-2
+1.0438000e+3	+1.0708011e+0	+0.1106120e-2
+1.0440000e+3	+1.0744634e+0	+0.1096607e-2
+1.0442000e+3	+1.0695803e+0	+0.1114445e-2
+1.0444000e+3	+1.0695803e+0	+0.1162012e-2
+1.0446000e+3	+1.0677493e+0	+0.1119201e-2
+1.0448000e+3	+1.0750737e+0	+0.1085904e-2
+1.0450000e+3	+1.0744634e+0	+0.1102553e-2
+1.0452000e+3	+1.0695803e+0	+0.1113255e-2
+1.0454000e+3	+1.0677493e+0	+0.1101364e-2
+1.0456000e+3	+1.0659181e+0	+0.1113255e-2
+1.0458000e+3	+1.0708011e+0	+0.1118012e-2
+1.0460000e+3	+1.0708011e+0	+0.1134661e-2
+1.0462000e+3	+1.0799567e+0	+0.1115634e-2
+1.0464000e+3	+1.0708011e+0	+0.1114445e-2
+1.0466000e+3	+1.0677493e+0	+0.1125147e-2
+1.0468000e+3	+1.0762944e+0	+0.1120391e-2
+1.0470000e+3	+1.0695803e+0	+0.1114445e-2
+1.0472000e+3	+1.0689700e+0	+0.1106120e-2
+1.0474000e+3	+1.0683596e+0	+0.1115634e-2
+1.0476000e+3	+1.0659181e+0	+0.1115634e-2
+1.0478000e+3	+1.0738530e+0	+0.1118012e-2
+1.0480000e+3	+1.0732425e+0	+0.1123958e-2
+1.0482000e+3	+1.0732425e+0	+0.1135850e-2
+1.0484000e+3	+1.0732425e+0	+0.1112066e-2
+1.0486000e+3	+1.0646974e+0	+0.1108499e-2
+1.0488000e+3	+1.0732425e+0	+0.1107309e-2
+1.0490000e+3	+1.0750737e+0	+0.1134661e-2
+1.0492000e+3	+1.0659181e+0	+0.1131093e-2
+1.0494000e+3	+1.0732425e+0	+0.1096607e-2
+1.0496000e+3	+1.0720218e+0	+0.1121580e-2
+1.0498000e+3	+1.0762944e+0	+0.1112066e-2
+1.0500000e+3	+1.0775152e+0	+0.1129904e-2
+1.0502000e+3	+1.0775152e+0	+0.1113255e-2
+1.0504000e+3	+1.0799567e+0	+0.1122769e-2
+1.0506000e+3	+1.0683596e+0	+0.1122769e-2
+1.0508000e+3	+1.0714115e+0	+0.1153688e-2
+1.0510000e+3	+1.0714115e+0	+0.1098985e-2
+1.0512000e+3	+1.0708011e+0	+0.1110877e-2
+1.0514000e+3	+1.0695803e+0	+0.1145364e-2
+1.0516000e+3	+1.0781256e+0	+0.1109688e-2
+1.0518000e+3	+1.0732425e+0	+0.1123958e-2
+1.0520000e+3	+1.0695803e+0	+0.1134661e-2
+1.0522000e+3	+1.0860604e+0	+0.1096607e-2
+1.0524000e+3	+1.0775152e+0	+0.1134661e-2
+1.0526000e+3	+1.0750737e+0	+0.1132282e-2
+1.0528000e+3	+1.0891123e+0	+0.1139418e-2
+1.0530000e+3	+1.0805671e+0	+0.1096607e-2
+1.0532000e+3	+1.0823982e+0	+0.1107309e-2
+1.0534000e+3	+1.0927745e+0	+0.1153688e-2
