instruNet waves in merged TEXT form #2

Notes:	
Date & Time:	01/20/2020	17:38:52
ChanName:	Ch1 Vin+	Ch4 Vin+
UserName:	Ch1 Vin+	Ch4 Vin+
vUnits:	Volts	Volts
hUnits:	Secs	Secs
PtsPerScan:	0000010000	0000010000
NumScansBeforeLastScan:	0000000000	0000000000
PtsInLastScan:	0000010000	0000010000
1stPtTime:	+0.000000000e+000	+0.000000000e+000
SamplePeriod:	+2.000000000e-001	+2.000000000e-001
netNum:	01	01
devNum:	01	01
modNum:	01	01
chNum:	001	004
BytesPerRow:	-1	-1
FirstDataByte:	-1	-1
key:	21940	21940
1904secs:	3662402482	3662402482
DataType:	+05	+05
Internal1:	+5.000000000e+000	+5.000000000e+000
External1:	+5.000000000e+000	+5.000000000e+000
Internal2:	-5.000000000e+000	-5.000000000e+000
External2:	-5.000000000e+000	-5.000000000e+000
Secs	Ch1 Vin+	Ch4 Vin+
+2.6200000e+1	+1.0860604e+0	+0.1370121e-2
+2.6400000e+1	+1.0946057e+0	+0.1362985e-2
+2.6600000e+1	+1.0854501e+0	+0.1392715e-2
+2.6800000e+1	+1.0909435e+0	+0.1383202e-2
+2.7000000e+1	+1.0933849e+0	+0.1358229e-2
+2.7200000e+1	+1.0921642e+0	+0.1360607e-2
+2.7400000e+1	+1.0866708e+0	+0.1349904e-2
+2.7600000e+1	+1.0927745e+0	+0.1351094e-2
+2.7800000e+1	+1.0970471e+0	+0.1377256e-2
+2.8000000e+1	+1.0939952e+0	+0.1366553e-2
+2.8200000e+1	+1.0872811e+0	+0.1367742e-2
+2.8400000e+1	+1.0891123e+0	+0.1395094e-2
+2.8600000e+1	+1.0939952e+0	+0.1371310e-2
+2.8800000e+1	+1.0897226e+0	+0.1366553e-2
+2.9000000e+1	+1.0860604e+0	+0.1404607e-2
+2.9200000e+1	+1.0927745e+0	+0.1390337e-2
+2.9400000e+1	+1.0866708e+0	+0.1343958e-2
+2.9600000e+1	+1.0854501e+0	+0.1367742e-2
+2.9800000e+1	+1.0872811e+0	+0.1362985e-2
+3.0000000e+1	+1.0750737e+0	+0.1367742e-2
+3.0200000e+1	+1.0756841e+0	+0.1365364e-2
+3.0400000e+1	+1.0866708e+0	+0.1347526e-2
+3.0600000e+1	+1.0732425e+0	+0.1380823e-2
+3.0800000e+1	+1.0793463e+0	+0.1355850e-2
+3.1000000e+1	+1.0799567e+0	+0.1368931e-2
+3.1200000e+1	+1.0762944e+0	+0.1387959e-2
+3.1400000e+1	+1.0793463e+0	+0.1389148e-2
